Empresa,Departamento,Modalidad Contractual,Mes,Líneas
BellSouth Perú S.A.,Pasco,Postpago,Oct-07,-
Nextel del Perú S.A.,Pasco,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,Pasco,Postpago,Oct-07,941
TIM Perú S.A.C.,Pasco,Postpago,Oct-07,-
América Móvil Perú S.A.C.,Piura,Postpago,Oct-07,4650
BellSouth Perú S.A.,Piura,Postpago,Oct-07,-
Nextel del Perú S.A.,Piura,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,Piura,Postpago,Oct-07,18304
TIM Perú S.A.C.,Piura,Postpago,Oct-07,-
América Móvil Perú S.A.C.,Puno,Postpago,Oct-07,4422
BellSouth Perú S.A.,Puno,Postpago,Oct-07,-
Nextel del Perú S.A.,Puno,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,Puno,Postpago,Oct-07,7241
TIM Perú S.A.C.,Puno,Postpago,Oct-07,-
América Móvil Perú S.A.C.,San Martín,Postpago,Oct-07,1032
BellSouth Perú S.A.,San Martín,Postpago,Oct-07,-
Nextel del Perú S.A.,San Martín,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,San Martín,Postpago,Oct-07,8450
TIM Perú S.A.C.,San Martín,Postpago,Oct-07,-
América Móvil Perú S.A.C.,Tacna,Postpago,Oct-07,3605
BellSouth Perú S.A.,Tacna,Postpago,Oct-07,-
Nextel del Perú S.A.,Tacna,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,Tacna,Postpago,Oct-07,7608
TIM Perú S.A.C.,Tacna,Postpago,Oct-07,-
América Móvil Perú S.A.C.,Tumbes,Postpago,Oct-07,426
BellSouth Perú S.A.,Tumbes,Postpago,Oct-07,-
Nextel del Perú S.A.,Tumbes,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,Tumbes,Postpago,Oct-07,4089
TIM Perú S.A.C.,Tumbes,Postpago,Oct-07,-
América Móvil Perú S.A.C.,Ucayali,Postpago,Oct-07,889
BellSouth Perú S.A.,Ucayali,Postpago,Oct-07,-
Nextel del Perú S.A.,Ucayali,Postpago,Oct-07,-
Telefónica del Perú S.A.A.,Ucayali,Postpago,Oct-07,6770
TIM Perú S.A.C.,Ucayali,Postpago,Oct-07,-
América Móvil Perú S.A.C.,Amazonas,Prepago,Oct-07,10834
BellSouth Perú S.A.,Amazonas,Prepago,Oct-07,-
Nextel del Perú S.A.,Amazonas,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Amazonas,Prepago,Oct-07,33316
TIM Perú S.A.C.,Amazonas,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Áncash,Prepago,Oct-07,77713
BellSouth Perú S.A.,Áncash,Prepago,Oct-07,-
Nextel del Perú S.A.,Áncash,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Áncash,Prepago,Oct-07,255705
TIM Perú S.A.C.,Áncash,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Apurímac,Prepago,Oct-07,13211
BellSouth Perú S.A.,Apurímac,Prepago,Oct-07,-
Nextel del Perú S.A.,Apurímac,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Apurímac,Prepago,Oct-07,45185
TIM Perú S.A.C.,Apurímac,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Arequipa,Prepago,Oct-07,223439
BellSouth Perú S.A.,Arequipa,Prepago,Oct-07,-
Nextel del Perú S.A.,Arequipa,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Arequipa,Prepago,Oct-07,509671
TIM Perú S.A.C.,Arequipa,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Ayacucho,Prepago,Oct-07,65200
BellSouth Perú S.A.,Ayacucho,Prepago,Oct-07,-
Nextel del Perú S.A.,Ayacucho,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Ayacucho,Prepago,Oct-07,90923
TIM Perú S.A.C.,Ayacucho,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Cajamarca,Prepago,Oct-07,24108
BellSouth Perú S.A.,Cajamarca,Prepago,Oct-07,-
Nextel del Perú S.A.,Cajamarca,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Cajamarca,Prepago,Oct-07,250075
TIM Perú S.A.C.,Cajamarca,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Cusco,Prepago,Oct-07,168327
BellSouth Perú S.A.,Cusco,Prepago,Oct-07,-
Nextel del Perú S.A.,Cusco,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Cusco,Prepago,Oct-07,190601
TIM Perú S.A.C.,Cusco,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Huancavelica,Prepago,Oct-07,7494
BellSouth Perú S.A.,Huancavelica,Prepago,Oct-07,-
Nextel del Perú S.A.,Huancavelica,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Huancavelica,Prepago,Oct-07,16645
TIM Perú S.A.C.,Huancavelica,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Huánuco,Prepago,Oct-07,29135
BellSouth Perú S.A.,Huánuco,Prepago,Oct-07,-
Nextel del Perú S.A.,Huánuco,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Huánuco,Prepago,Oct-07,89948
TIM Perú S.A.C.,Huánuco,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Ica,Prepago,Oct-07,101654
BellSouth Perú S.A.,Ica,Prepago,Oct-07,-
Nextel del Perú S.A.,Ica,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Ica,Prepago,Oct-07,289176
TIM Perú S.A.C.,Ica,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Junín,Prepago,Oct-07,88889
BellSouth Perú S.A.,Junín,Prepago,Oct-07,-
Nextel del Perú S.A.,Junín,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Junín,Prepago,Oct-07,306259
TIM Perú S.A.C.,Junín,Prepago,Oct-07,-
América Móvil Perú S.A.C.,La Libertad,Prepago,Oct-07,227389
BellSouth Perú S.A.,La Libertad,Prepago,Oct-07,-
Nextel del Perú S.A.,La Libertad,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,La Libertad,Prepago,Oct-07,494057
TIM Perú S.A.C.,La Libertad,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Lambayeque,Prepago,Oct-07,102430
BellSouth Perú S.A.,Lambayeque,Prepago,Oct-07,-
Nextel del Perú S.A.,Lambayeque,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Lambayeque,Prepago,Oct-07,414206
TIM Perú S.A.C.,Lambayeque,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Lima,Prepago,Oct-07,2924159
BellSouth Perú S.A.,Lima,Prepago,Oct-07,-
Nextel del Perú S.A.,Lima,Prepago,Oct-07,107286
Telefónica del Perú S.A.A.,Lima,Prepago,Oct-07,3398746
TIM Perú S.A.C.,Lima,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Loreto,Prepago,Oct-07,48708
BellSouth Perú S.A.,Loreto,Prepago,Oct-07,-
Nextel del Perú S.A.,Loreto,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Loreto,Prepago,Oct-07,83162
TIM Perú S.A.C.,Loreto,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Madre de Dios,Prepago,Oct-07,35077
BellSouth Perú S.A.,Madre de Dios,Prepago,Oct-07,-
Nextel del Perú S.A.,Madre de Dios,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Madre de Dios,Prepago,Oct-07,6461
TIM Perú S.A.C.,Madre de Dios,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Moquegua,Prepago,Oct-07,18829
BellSouth Perú S.A.,Moquegua,Prepago,Oct-07,-
Nextel del Perú S.A.,Moquegua,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Moquegua,Prepago,Oct-07,84406
TIM Perú S.A.C.,Moquegua,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Pasco,Prepago,Oct-07,8804
BellSouth Perú S.A.,Pasco,Prepago,Oct-07,-
Nextel del Perú S.A.,Pasco,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Pasco,Prepago,Oct-07,59851
TIM Perú S.A.C.,Pasco,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Piura,Prepago,Oct-07,95002
BellSouth Perú S.A.,Piura,Prepago,Oct-07,-
Nextel del Perú S.A.,Piura,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Piura,Prepago,Oct-07,437094
TIM Perú S.A.C.,Piura,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Puno,Prepago,Oct-07,100551
BellSouth Perú S.A.,Puno,Prepago,Oct-07,-
Nextel del Perú S.A.,Puno,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Puno,Prepago,Oct-07,308154
TIM Perú S.A.C.,Puno,Prepago,Oct-07,-
América Móvil Perú S.A.C.,San Martín,Prepago,Oct-07,28297
BellSouth Perú S.A.,San Martín,Prepago,Oct-07,-
Nextel del Perú S.A.,San Martín,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,San Martín,Prepago,Oct-07,99363
TIM Perú S.A.C.,San Martín,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Tacna,Prepago,Oct-07,44685
BellSouth Perú S.A.,Tacna,Prepago,Oct-07,-
Nextel del Perú S.A.,Tacna,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Tacna,Prepago,Oct-07,168286
TIM Perú S.A.C.,Tacna,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Tumbes,Prepago,Oct-07,7447
BellSouth Perú S.A.,Tumbes,Prepago,Oct-07,-
Nextel del Perú S.A.,Tumbes,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Tumbes,Prepago,Oct-07,95400
TIM Perú S.A.C.,Tumbes,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Ucayali,Prepago,Oct-07,24587
BellSouth Perú S.A.,Ucayali,Prepago,Oct-07,-
Nextel del Perú S.A.,Ucayali,Prepago,Oct-07,-
Telefónica del Perú S.A.A.,Ucayali,Prepago,Oct-07,97765
TIM Perú S.A.C.,Ucayali,Prepago,Oct-07,-
América Móvil Perú S.A.C.,Amazonas,Control,Nov-07,80
BellSouth Perú S.A.,Amazonas,Control,Nov-07,-
Nextel del Perú S.A.,Amazonas,Control,Nov-07,-
Telefónica del Perú S.A.A.,Amazonas,Control,Nov-07,531
TIM Perú S.A.C.,Amazonas,Control,Nov-07,-
América Móvil Perú S.A.C.,Áncash,Control,Nov-07,621
BellSouth Perú S.A.,Áncash,Control,Nov-07,-
Nextel del Perú S.A.,Áncash,Control,Nov-07,-
Telefónica del Perú S.A.A.,Áncash,Control,Nov-07,14680
TIM Perú S.A.C.,Áncash,Control,Nov-07,-
América Móvil Perú S.A.C.,Apurímac,Control,Nov-07,113
BellSouth Perú S.A.,Apurímac,Control,Nov-07,-
Nextel del Perú S.A.,Apurímac,Control,Nov-07,-
Telefónica del Perú S.A.A.,Apurímac,Control,Nov-07,761
TIM Perú S.A.C.,Apurímac,Control,Nov-07,-
América Móvil Perú S.A.C.,Arequipa,Control,Nov-07,5754
BellSouth Perú S.A.,Arequipa,Control,Nov-07,-
Nextel del Perú S.A.,Arequipa,Control,Nov-07,-
Telefónica del Perú S.A.A.,Arequipa,Control,Nov-07,21088
TIM Perú S.A.C.,Arequipa,Control,Nov-07,-
América Móvil Perú S.A.C.,Ayacucho,Control,Nov-07,225
BellSouth Perú S.A.,Ayacucho,Control,Nov-07,-
Nextel del Perú S.A.,Ayacucho,Control,Nov-07,-
Telefónica del Perú S.A.A.,Ayacucho,Control,Nov-07,1375
TIM Perú S.A.C.,Ayacucho,Control,Nov-07,-
América Móvil Perú S.A.C.,Cajamarca,Control,Nov-07,520
BellSouth Perú S.A.,Cajamarca,Control,Nov-07,-
Nextel del Perú S.A.,Cajamarca,Control,Nov-07,-
Telefónica del Perú S.A.A.,Cajamarca,Control,Nov-07,6937
TIM Perú S.A.C.,Cajamarca,Control,Nov-07,-
América Móvil Perú S.A.C.,Cusco,Control,Nov-07,3142
BellSouth Perú S.A.,Cusco,Control,Nov-07,-
Nextel del Perú S.A.,Cusco,Control,Nov-07,-
Telefónica del Perú S.A.A.,Cusco,Control,Nov-07,5320
TIM Perú S.A.C.,Cusco,Control,Nov-07,-
América Móvil Perú S.A.C.,Huancavelica,Control,Nov-07,4
BellSouth Perú S.A.,Huancavelica,Control,Nov-07,-
Nextel del Perú S.A.,Huancavelica,Control,Nov-07,-
Telefónica del Perú S.A.A.,Huancavelica,Control,Nov-07,36
TIM Perú S.A.C.,Huancavelica,Control,Nov-07,-
América Móvil Perú S.A.C.,Huánuco,Control,Nov-07,55
BellSouth Perú S.A.,Huánuco,Control,Nov-07,-
Nextel del Perú S.A.,Huánuco,Control,Nov-07,-
Telefónica del Perú S.A.A.,Huánuco,Control,Nov-07,1120
TIM Perú S.A.C.,Huánuco,Control,Nov-07,-
América Móvil Perú S.A.C.,Ica,Control,Nov-07,1166
BellSouth Perú S.A.,Ica,Control,Nov-07,-
Nextel del Perú S.A.,Ica,Control,Nov-07,-
Telefónica del Perú S.A.A.,Ica,Control,Nov-07,4907
TIM Perú S.A.C.,Ica,Control,Nov-07,-
América Móvil Perú S.A.C.,Junín,Control,Nov-07,451
BellSouth Perú S.A.,Junín,Control,Nov-07,-
Nextel del Perú S.A.,Junín,Control,Nov-07,-
Telefónica del Perú S.A.A.,Junín,Control,Nov-07,2764
TIM Perú S.A.C.,Junín,Control,Nov-07,-
América Móvil Perú S.A.C.,La Libertad,Control,Nov-07,6700
BellSouth Perú S.A.,La Libertad,Control,Nov-07,-
Nextel del Perú S.A.,La Libertad,Control,Nov-07,-
Telefónica del Perú S.A.A.,La Libertad,Control,Nov-07,13309
TIM Perú S.A.C.,La Libertad,Control,Nov-07,-
América Móvil Perú S.A.C.,Lambayeque,Control,Nov-07,2110
BellSouth Perú S.A.,Lambayeque,Control,Nov-07,-
Nextel del Perú S.A.,Lambayeque,Control,Nov-07,-
Telefónica del Perú S.A.A.,Lambayeque,Control,Nov-07,13917
TIM Perú S.A.C.,Lambayeque,Control,Nov-07,-
América Móvil Perú S.A.C.,Lima,Control,Nov-07,53917
BellSouth Perú S.A.,Lima,Control,Nov-07,-
Nextel del Perú S.A.,Lima,Control,Nov-07,212601
Telefónica del Perú S.A.A.,Lima,Control,Nov-07,111798
TIM Perú S.A.C.,Lima,Control,Nov-07,-
América Móvil Perú S.A.C.,Loreto,Control,Nov-07,1209
BellSouth Perú S.A.,Loreto,Control,Nov-07,-
Nextel del Perú S.A.,Loreto,Control,Nov-07,-
Telefónica del Perú S.A.A.,Loreto,Control,Nov-07,2384
TIM Perú S.A.C.,Loreto,Control,Nov-07,-
América Móvil Perú S.A.C.,Madre de Dios,Control,Nov-07,598
BellSouth Perú S.A.,Madre de Dios,Control,Nov-07,-
Nextel del Perú S.A.,Madre de Dios,Control,Nov-07,-
Telefónica del Perú S.A.A.,Madre de Dios,Control,Nov-07,95
TIM Perú S.A.C.,Madre de Dios,Control,Nov-07,-
América Móvil Perú S.A.C.,Moquegua,Control,Nov-07,399
BellSouth Perú S.A.,Moquegua,Control,Nov-07,-
Nextel del Perú S.A.,Moquegua,Control,Nov-07,-
Telefónica del Perú S.A.A.,Moquegua,Control,Nov-07,2129
TIM Perú S.A.C.,Moquegua,Control,Nov-07,-
América Móvil Perú S.A.C.,Pasco,Control,Nov-07,13
BellSouth Perú S.A.,Pasco,Control,Nov-07,-
Nextel del Perú S.A.,Pasco,Control,Nov-07,-
Telefónica del Perú S.A.A.,Pasco,Control,Nov-07,68
TIM Perú S.A.C.,Pasco,Control,Nov-07,-
América Móvil Perú S.A.C.,Piura,Control,Nov-07,2612
BellSouth Perú S.A.,Piura,Control,Nov-07,-
Nextel del Perú S.A.,Piura,Control,Nov-07,-
Telefónica del Perú S.A.A.,Piura,Control,Nov-07,12135
TIM Perú S.A.C.,Piura,Control,Nov-07,-
América Móvil Perú S.A.C.,Puno,Control,Nov-07,519
BellSouth Perú S.A.,Puno,Control,Nov-07,-
Nextel del Perú S.A.,Puno,Control,Nov-07,-
Telefónica del Perú S.A.A.,Puno,Control,Nov-07,3339
TIM Perú S.A.C.,Puno,Control,Nov-07,-
América Móvil Perú S.A.C.,San Martín,Control,Nov-07,96
BellSouth Perú S.A.,San Martín,Control,Nov-07,-
Nextel del Perú S.A.,San Martín,Control,Nov-07,-
Telefónica del Perú S.A.A.,San Martín,Control,Nov-07,294
TIM Perú S.A.C.,San Martín,Control,Nov-07,-
América Móvil Perú S.A.C.,Tacna,Control,Nov-07,1340
BellSouth Perú S.A.,Tacna,Control,Nov-07,-
Nextel del Perú S.A.,Tacna,Control,Nov-07,-
Telefónica del Perú S.A.A.,Tacna,Control,Nov-07,5106
TIM Perú S.A.C.,Tacna,Control,Nov-07,-
América Móvil Perú S.A.C.,Tumbes,Control,Nov-07,133
BellSouth Perú S.A.,Tumbes,Control,Nov-07,-
Nextel del Perú S.A.,Tumbes,Control,Nov-07,-
Telefónica del Perú S.A.A.,Tumbes,Control,Nov-07,1674
TIM Perú S.A.C.,Tumbes,Control,Nov-07,-
América Móvil Perú S.A.C.,Ucayali,Control,Nov-07,164
BellSouth Perú S.A.,Ucayali,Control,Nov-07,-
Nextel del Perú S.A.,Ucayali,Control,Nov-07,-
Telefónica del Perú S.A.A.,Ucayali,Control,Nov-07,696
TIM Perú S.A.C.,Ucayali,Control,Nov-07,-
América Móvil Perú S.A.C.,Amazonas,Postpago,Nov-07,459
BellSouth Perú S.A.,Amazonas,Postpago,Nov-07,-
Nextel del Perú S.A.,Amazonas,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Amazonas,Postpago,Nov-07,1740
TIM Perú S.A.C.,Amazonas,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Áncash,Postpago,Nov-07,4153
BellSouth Perú S.A.,Áncash,Postpago,Nov-07,-
Nextel del Perú S.A.,Áncash,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Áncash,Postpago,Nov-07,15113
TIM Perú S.A.C.,Áncash,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Apurímac,Postpago,Nov-07,403
BellSouth Perú S.A.,Apurímac,Postpago,Nov-07,-
Nextel del Perú S.A.,Apurímac,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Apurímac,Postpago,Nov-07,1619
TIM Perú S.A.C.,Apurímac,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Arequipa,Postpago,Nov-07,27037
BellSouth Perú S.A.,Arequipa,Postpago,Nov-07,-
Nextel del Perú S.A.,Arequipa,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Arequipa,Postpago,Nov-07,37286
TIM Perú S.A.C.,Arequipa,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Ayacucho,Postpago,Nov-07,1226
BellSouth Perú S.A.,Ayacucho,Postpago,Nov-07,-
Nextel del Perú S.A.,Ayacucho,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Ayacucho,Postpago,Nov-07,5373
TIM Perú S.A.C.,Ayacucho,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Cajamarca,Postpago,Nov-07,2166
BellSouth Perú S.A.,Cajamarca,Postpago,Nov-07,-
Nextel del Perú S.A.,Cajamarca,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Cajamarca,Postpago,Nov-07,17793
TIM Perú S.A.C.,Cajamarca,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Cusco,Postpago,Nov-07,11718
BellSouth Perú S.A.,Cusco,Postpago,Nov-07,-
Nextel del Perú S.A.,Cusco,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Cusco,Postpago,Nov-07,11427
TIM Perú S.A.C.,Cusco,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Huancavelica,Postpago,Nov-07,97
BellSouth Perú S.A.,Huancavelica,Postpago,Nov-07,-
Nextel del Perú S.A.,Huancavelica,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Huancavelica,Postpago,Nov-07,468
TIM Perú S.A.C.,Huancavelica,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Huánuco,Postpago,Nov-07,511
BellSouth Perú S.A.,Huánuco,Postpago,Nov-07,-
Nextel del Perú S.A.,Huánuco,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Huánuco,Postpago,Nov-07,5001
TIM Perú S.A.C.,Huánuco,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Ica,Postpago,Nov-07,3447
BellSouth Perú S.A.,Ica,Postpago,Nov-07,-
Nextel del Perú S.A.,Ica,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Ica,Postpago,Nov-07,9188
TIM Perú S.A.C.,Ica,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Junín,Postpago,Nov-07,3849
BellSouth Perú S.A.,Junín,Postpago,Nov-07,-
Nextel del Perú S.A.,Junín,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Junín,Postpago,Nov-07,13250
TIM Perú S.A.C.,Junín,Postpago,Nov-07,-
América Móvil Perú S.A.C.,La Libertad,Postpago,Nov-07,14387
BellSouth Perú S.A.,La Libertad,Postpago,Nov-07,-
Nextel del Perú S.A.,La Libertad,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,La Libertad,Postpago,Nov-07,25666
TIM Perú S.A.C.,La Libertad,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Lambayeque,Postpago,Nov-07,8125
BellSouth Perú S.A.,Lambayeque,Postpago,Nov-07,-
Nextel del Perú S.A.,Lambayeque,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Lambayeque,Postpago,Nov-07,18674
TIM Perú S.A.C.,Lambayeque,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Lima,Postpago,Nov-07,318811
BellSouth Perú S.A.,Lima,Postpago,Nov-07,-
Nextel del Perú S.A.,Lima,Postpago,Nov-07,134706
Telefónica del Perú S.A.A.,Lima,Postpago,Nov-07,347183
TIM Perú S.A.C.,Lima,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Loreto,Postpago,Nov-07,2499
BellSouth Perú S.A.,Loreto,Postpago,Nov-07,-
Nextel del Perú S.A.,Loreto,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Loreto,Postpago,Nov-07,7594
TIM Perú S.A.C.,Loreto,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Madre de Dios,Postpago,Nov-07,1386
BellSouth Perú S.A.,Madre de Dios,Postpago,Nov-07,-
Nextel del Perú S.A.,Madre de Dios,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Madre de Dios,Postpago,Nov-07,632
TIM Perú S.A.C.,Madre de Dios,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Moquegua,Postpago,Nov-07,1469
BellSouth Perú S.A.,Moquegua,Postpago,Nov-07,-
Nextel del Perú S.A.,Moquegua,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Moquegua,Postpago,Nov-07,4568
TIM Perú S.A.C.,Moquegua,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Pasco,Postpago,Nov-07,195
BellSouth Perú S.A.,Pasco,Postpago,Nov-07,-
Nextel del Perú S.A.,Pasco,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Pasco,Postpago,Nov-07,984
TIM Perú S.A.C.,Pasco,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Piura,Postpago,Nov-07,5170
BellSouth Perú S.A.,Piura,Postpago,Nov-07,-
Nextel del Perú S.A.,Piura,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Piura,Postpago,Nov-07,18471
TIM Perú S.A.C.,Piura,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Puno,Postpago,Nov-07,4839
BellSouth Perú S.A.,Puno,Postpago,Nov-07,-
Nextel del Perú S.A.,Puno,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Puno,Postpago,Nov-07,7568
TIM Perú S.A.C.,Puno,Postpago,Nov-07,-
América Móvil Perú S.A.C.,San Martín,Postpago,Nov-07,1103
BellSouth Perú S.A.,San Martín,Postpago,Nov-07,-
Nextel del Perú S.A.,San Martín,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,San Martín,Postpago,Nov-07,8762
TIM Perú S.A.C.,San Martín,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Tacna,Postpago,Nov-07,3717
BellSouth Perú S.A.,Tacna,Postpago,Nov-07,-
Nextel del Perú S.A.,Tacna,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Tacna,Postpago,Nov-07,7710
TIM Perú S.A.C.,Tacna,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Tumbes,Postpago,Nov-07,441
BellSouth Perú S.A.,Tumbes,Postpago,Nov-07,-
Nextel del Perú S.A.,Tumbes,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Tumbes,Postpago,Nov-07,4100
TIM Perú S.A.C.,Tumbes,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Ucayali,Postpago,Nov-07,970
BellSouth Perú S.A.,Ucayali,Postpago,Nov-07,-
Nextel del Perú S.A.,Ucayali,Postpago,Nov-07,-
Telefónica del Perú S.A.A.,Ucayali,Postpago,Nov-07,6843
TIM Perú S.A.C.,Ucayali,Postpago,Nov-07,-
América Móvil Perú S.A.C.,Amazonas,Prepago,Nov-07,10991
BellSouth Perú S.A.,Amazonas,Prepago,Nov-07,-
Nextel del Perú S.A.,Amazonas,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Amazonas,Prepago,Nov-07,36264
TIM Perú S.A.C.,Amazonas,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Áncash,Prepago,Nov-07,79783
BellSouth Perú S.A.,Áncash,Prepago,Nov-07,-
Nextel del Perú S.A.,Áncash,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Áncash,Prepago,Nov-07,262757
TIM Perú S.A.C.,Áncash,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Apurímac,Prepago,Nov-07,14319
BellSouth Perú S.A.,Apurímac,Prepago,Nov-07,-
Nextel del Perú S.A.,Apurímac,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Apurímac,Prepago,Nov-07,47300
TIM Perú S.A.C.,Apurímac,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Arequipa,Prepago,Nov-07,228979
BellSouth Perú S.A.,Arequipa,Prepago,Nov-07,-
Nextel del Perú S.A.,Arequipa,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Arequipa,Prepago,Nov-07,528018
TIM Perú S.A.C.,Arequipa,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Ayacucho,Prepago,Nov-07,67511
BellSouth Perú S.A.,Ayacucho,Prepago,Nov-07,-
Nextel del Perú S.A.,Ayacucho,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Ayacucho,Prepago,Nov-07,97061
TIM Perú S.A.C.,Ayacucho,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Cajamarca,Prepago,Nov-07,24548
BellSouth Perú S.A.,Cajamarca,Prepago,Nov-07,-
Nextel del Perú S.A.,Cajamarca,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Cajamarca,Prepago,Nov-07,261120
TIM Perú S.A.C.,Cajamarca,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Cusco,Prepago,Nov-07,175748
BellSouth Perú S.A.,Cusco,Prepago,Nov-07,-
Nextel del Perú S.A.,Cusco,Prepago,Nov-07,-
Telefónica del Perú S.A.A.,Cusco,Prepago,Nov-07,197441
TIM Perú S.A.C.,Cusco,Prepago,Nov-07,-
América Móvil Perú S.A.C.,Huancavelica,Prepago,Nov-07,7680
BellSouth Perú S.A.,Huancavelica,Prepago,Nov-07,-
