Empresa,Departamento,Mod_contract,Fecha,Lineas
BellSouth Peru S.A.,Cajamarca,control,2009-11-01,NA
Nextel del Peru S.A.,Cajamarca,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Cajamarca,control,2009-11-01,9078
TIM Peru S.A.C.,Cajamarca,control,2009-11-01,NA
America Movil Peru S.A.C.,Cusco,control,2009-11-01,5365
BellSouth Peru S.A.,Cusco,control,2009-11-01,NA
Nextel del Peru S.A.,Cusco,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Cusco,control,2009-11-01,5366
TIM Peru S.A.C.,Cusco,control,2009-11-01,NA
America Movil Peru S.A.C.,Huancavelica,control,2009-11-01,36
BellSouth Peru S.A.,Huancavelica,control,2009-11-01,NA
Nextel del Peru S.A.,Huancavelica,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Huancavelica,control,2009-11-01,99
TIM Peru S.A.C.,Huancavelica,control,2009-11-01,NA
America Movil Peru S.A.C.,Huanuco,control,2009-11-01,227
BellSouth Peru S.A.,Huanuco,control,2009-11-01,NA
Nextel del Peru S.A.,Huanuco,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Huanuco,control,2009-11-01,2132
TIM Peru S.A.C.,Huanuco,control,2009-11-01,NA
America Movil Peru S.A.C.,Ica,control,2009-11-01,991
BellSouth Peru S.A.,Ica,control,2009-11-01,NA
Nextel del Peru S.A.,Ica,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Ica,control,2009-11-01,7258
TIM Peru S.A.C.,Ica,control,2009-11-01,NA
America Movil Peru S.A.C.,Junin,control,2009-11-01,918
BellSouth Peru S.A.,Junin,control,2009-11-01,NA
Nextel del Peru S.A.,Junin,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Junin,control,2009-11-01,5059
TIM Peru S.A.C.,Junin,control,2009-11-01,NA
America Movil Peru S.A.C.,La Libertad,control,2009-11-01,6996
BellSouth Peru S.A.,La Libertad,control,2009-11-01,NA
Nextel del Peru S.A.,La Libertad,control,2009-11-01,NA
Telefonica del Peru S.A.A.,La Libertad,control,2009-11-01,17243
TIM Peru S.A.C.,La Libertad,control,2009-11-01,NA
America Movil Peru S.A.C.,Lambayeque,control,2009-11-01,2380
BellSouth Peru S.A.,Lambayeque,control,2009-11-01,NA
Nextel del Peru S.A.,Lambayeque,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Lambayeque,control,2009-11-01,13052
TIM Peru S.A.C.,Lambayeque,control,2009-11-01,NA
America Movil Peru S.A.C.,Lima,control,2009-11-01,51215
BellSouth Peru S.A.,Lima,control,2009-11-01,NA
Nextel del Peru S.A.,Lima,control,2009-11-01,405688
Telefonica del Peru S.A.A.,Lima,control,2009-11-01,136889
TIM Peru S.A.C.,Lima,control,2009-11-01,NA
America Movil Peru S.A.C.,Loreto,control,2009-11-01,1076
BellSouth Peru S.A.,Loreto,control,2009-11-01,NA
Nextel del Peru S.A.,Loreto,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Loreto,control,2009-11-01,3039
TIM Peru S.A.C.,Loreto,control,2009-11-01,NA
America Movil Peru S.A.C.,Madre de Dios,control,2009-11-01,790
BellSouth Peru S.A.,Madre de Dios,control,2009-11-01,NA
Nextel del Peru S.A.,Madre de Dios,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Madre de Dios,control,2009-11-01,137
TIM Peru S.A.C.,Madre de Dios,control,2009-11-01,NA
America Movil Peru S.A.C.,Moquegua,control,2009-11-01,563
BellSouth Peru S.A.,Moquegua,control,2009-11-01,NA
Nextel del Peru S.A.,Moquegua,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Moquegua,control,2009-11-01,2694
TIM Peru S.A.C.,Moquegua,control,2009-11-01,NA
America Movil Peru S.A.C.,Pasco,control,2009-11-01,33
BellSouth Peru S.A.,Pasco,control,2009-11-01,NA
Nextel del Peru S.A.,Pasco,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Pasco,control,2009-11-01,497
TIM Peru S.A.C.,Pasco,control,2009-11-01,NA
America Movil Peru S.A.C.,Piura,control,2009-11-01,1857
BellSouth Peru S.A.,Piura,control,2009-11-01,NA
Nextel del Peru S.A.,Piura,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Piura,control,2009-11-01,15240
TIM Peru S.A.C.,Piura,control,2009-11-01,NA
America Movil Peru S.A.C.,Puno,control,2009-11-01,808
BellSouth Peru S.A.,Puno,control,2009-11-01,NA
Nextel del Peru S.A.,Puno,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Puno,control,2009-11-01,4380
TIM Peru S.A.C.,Puno,control,2009-11-01,NA
America Movil Peru S.A.C.,San Martin,control,2009-11-01,523
BellSouth Peru S.A.,San Martin,control,2009-11-01,NA
Nextel del Peru S.A.,San Martin,control,2009-11-01,NA
Telefonica del Peru S.A.A.,San Martin,control,2009-11-01,1663
TIM Peru S.A.C.,San Martin,control,2009-11-01,NA
America Movil Peru S.A.C.,Tacna,control,2009-11-01,1515
BellSouth Peru S.A.,Tacna,control,2009-11-01,NA
Nextel del Peru S.A.,Tacna,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Tacna,control,2009-11-01,7458
TIM Peru S.A.C.,Tacna,control,2009-11-01,NA
America Movil Peru S.A.C.,Tumbes,control,2009-11-01,116
BellSouth Peru S.A.,Tumbes,control,2009-11-01,NA
Nextel del Peru S.A.,Tumbes,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Tumbes,control,2009-11-01,2747
TIM Peru S.A.C.,Tumbes,control,2009-11-01,NA
America Movil Peru S.A.C.,Ucayali,control,2009-11-01,176
BellSouth Peru S.A.,Ucayali,control,2009-11-01,NA
Nextel del Peru S.A.,Ucayali,control,2009-11-01,NA
Telefonica del Peru S.A.A.,Ucayali,control,2009-11-01,3405
TIM Peru S.A.C.,Ucayali,control,2009-11-01,NA
America Movil Peru S.A.C.,Amazonas,postpago,2009-11-01,619
BellSouth Peru S.A.,Amazonas,postpago,2009-11-01,NA
Nextel del Peru S.A.,Amazonas,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Amazonas,postpago,2009-11-01,3520
TIM Peru S.A.C.,Amazonas,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Ancash,postpago,2009-11-01,6904
BellSouth Peru S.A.,Ancash,postpago,2009-11-01,NA
Nextel del Peru S.A.,Ancash,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ancash,postpago,2009-11-01,22681
TIM Peru S.A.C.,Ancash,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Apurimac,postpago,2009-11-01,1532
BellSouth Peru S.A.,Apurimac,postpago,2009-11-01,NA
Nextel del Peru S.A.,Apurimac,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Apurimac,postpago,2009-11-01,3415
TIM Peru S.A.C.,Apurimac,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Arequipa,postpago,2009-11-01,58581
BellSouth Peru S.A.,Arequipa,postpago,2009-11-01,NA
Nextel del Peru S.A.,Arequipa,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Arequipa,postpago,2009-11-01,50857
TIM Peru S.A.C.,Arequipa,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Ayacucho,postpago,2009-11-01,2664
BellSouth Peru S.A.,Ayacucho,postpago,2009-11-01,NA
Nextel del Peru S.A.,Ayacucho,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ayacucho,postpago,2009-11-01,17289
TIM Peru S.A.C.,Ayacucho,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Cajamarca,postpago,2009-11-01,20845
BellSouth Peru S.A.,Cajamarca,postpago,2009-11-01,NA
Nextel del Peru S.A.,Cajamarca,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Cajamarca,postpago,2009-11-01,27142
TIM Peru S.A.C.,Cajamarca,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Cusco,postpago,2009-11-01,24515
BellSouth Peru S.A.,Cusco,postpago,2009-11-01,NA
Nextel del Peru S.A.,Cusco,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Cusco,postpago,2009-11-01,16662
TIM Peru S.A.C.,Cusco,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Huancavelica,postpago,2009-11-01,641
BellSouth Peru S.A.,Huancavelica,postpago,2009-11-01,NA
Nextel del Peru S.A.,Huancavelica,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Huancavelica,postpago,2009-11-01,1079
TIM Peru S.A.C.,Huancavelica,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Huanuco,postpago,2009-11-01,2694
BellSouth Peru S.A.,Huanuco,postpago,2009-11-01,NA
Nextel del Peru S.A.,Huanuco,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Huanuco,postpago,2009-11-01,9822
TIM Peru S.A.C.,Huanuco,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Ica,postpago,2009-11-01,7581
BellSouth Peru S.A.,Ica,postpago,2009-11-01,NA
Nextel del Peru S.A.,Ica,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ica,postpago,2009-11-01,15992
TIM Peru S.A.C.,Ica,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Junin,postpago,2009-11-01,10388
BellSouth Peru S.A.,Junin,postpago,2009-11-01,NA
Nextel del Peru S.A.,Junin,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Junin,postpago,2009-11-01,28782
TIM Peru S.A.C.,Junin,postpago,2009-11-01,NA
America Movil Peru S.A.C.,La Libertad,postpago,2009-11-01,32151
BellSouth Peru S.A.,La Libertad,postpago,2009-11-01,NA
Nextel del Peru S.A.,La Libertad,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,La Libertad,postpago,2009-11-01,45884
TIM Peru S.A.C.,La Libertad,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Lambayeque,postpago,2009-11-01,15403
BellSouth Peru S.A.,Lambayeque,postpago,2009-11-01,NA
Nextel del Peru S.A.,Lambayeque,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Lambayeque,postpago,2009-11-01,35361
TIM Peru S.A.C.,Lambayeque,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Lima,postpago,2009-11-01,578294
BellSouth Peru S.A.,Lima,postpago,2009-11-01,NA
Nextel del Peru S.A.,Lima,postpago,2009-11-01,142254
Telefonica del Peru S.A.A.,Lima,postpago,2009-11-01,494567
TIM Peru S.A.C.,Lima,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Loreto,postpago,2009-11-01,4885
BellSouth Peru S.A.,Loreto,postpago,2009-11-01,NA
Nextel del Peru S.A.,Loreto,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Loreto,postpago,2009-11-01,17002
TIM Peru S.A.C.,Loreto,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Madre de Dios,postpago,2009-11-01,3072
BellSouth Peru S.A.,Madre de Dios,postpago,2009-11-01,NA
Nextel del Peru S.A.,Madre de Dios,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Madre de Dios,postpago,2009-11-01,1060
TIM Peru S.A.C.,Madre de Dios,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Moquegua,postpago,2009-11-01,3862
BellSouth Peru S.A.,Moquegua,postpago,2009-11-01,NA
Nextel del Peru S.A.,Moquegua,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Moquegua,postpago,2009-11-01,7517
TIM Peru S.A.C.,Moquegua,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Pasco,postpago,2009-11-01,675
BellSouth Peru S.A.,Pasco,postpago,2009-11-01,NA
Nextel del Peru S.A.,Pasco,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Pasco,postpago,2009-11-01,2559
TIM Peru S.A.C.,Pasco,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Piura,postpago,2009-11-01,11420
BellSouth Peru S.A.,Piura,postpago,2009-11-01,NA
Nextel del Peru S.A.,Piura,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Piura,postpago,2009-11-01,39216
TIM Peru S.A.C.,Piura,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Puno,postpago,2009-11-01,8867
BellSouth Peru S.A.,Puno,postpago,2009-11-01,NA
Nextel del Peru S.A.,Puno,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Puno,postpago,2009-11-01,13801
TIM Peru S.A.C.,Puno,postpago,2009-11-01,NA
America Movil Peru S.A.C.,San Martin,postpago,2009-11-01,3080
BellSouth Peru S.A.,San Martin,postpago,2009-11-01,NA
Nextel del Peru S.A.,San Martin,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,San Martin,postpago,2009-11-01,26380
TIM Peru S.A.C.,San Martin,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Tacna,postpago,2009-11-01,6667
BellSouth Peru S.A.,Tacna,postpago,2009-11-01,NA
Nextel del Peru S.A.,Tacna,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Tacna,postpago,2009-11-01,13151
TIM Peru S.A.C.,Tacna,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Tumbes,postpago,2009-11-01,1223
BellSouth Peru S.A.,Tumbes,postpago,2009-11-01,NA
Nextel del Peru S.A.,Tumbes,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Tumbes,postpago,2009-11-01,10496
TIM Peru S.A.C.,Tumbes,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Ucayali,postpago,2009-11-01,3486
BellSouth Peru S.A.,Ucayali,postpago,2009-11-01,NA
Nextel del Peru S.A.,Ucayali,postpago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ucayali,postpago,2009-11-01,16043
TIM Peru S.A.C.,Ucayali,postpago,2009-11-01,NA
America Movil Peru S.A.C.,Amazonas,prepago,2009-11-01,20227
BellSouth Peru S.A.,Amazonas,prepago,2009-11-01,NA
Nextel del Peru S.A.,Amazonas,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Amazonas,prepago,2009-11-01,97140
TIM Peru S.A.C.,Amazonas,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Ancash,prepago,2009-11-01,117170
BellSouth Peru S.A.,Ancash,prepago,2009-11-01,NA
Nextel del Peru S.A.,Ancash,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ancash,prepago,2009-11-01,514056
TIM Peru S.A.C.,Ancash,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Apurimac,prepago,2009-11-01,46880
BellSouth Peru S.A.,Apurimac,prepago,2009-11-01,NA
Nextel del Peru S.A.,Apurimac,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Apurimac,prepago,2009-11-01,100551
TIM Peru S.A.C.,Apurimac,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Arequipa,prepago,2009-11-01,401969
BellSouth Peru S.A.,Arequipa,prepago,2009-11-01,NA
Nextel del Peru S.A.,Arequipa,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Arequipa,prepago,2009-11-01,750999
TIM Peru S.A.C.,Arequipa,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Ayacucho,prepago,2009-11-01,110697
BellSouth Peru S.A.,Ayacucho,prepago,2009-11-01,NA
Nextel del Peru S.A.,Ayacucho,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ayacucho,prepago,2009-11-01,280707
TIM Peru S.A.C.,Ayacucho,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Cajamarca,prepago,2009-11-01,54708
BellSouth Peru S.A.,Cajamarca,prepago,2009-11-01,NA
Nextel del Peru S.A.,Cajamarca,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Cajamarca,prepago,2009-11-01,537326
TIM Peru S.A.C.,Cajamarca,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Cusco,prepago,2009-11-01,397310
BellSouth Peru S.A.,Cusco,prepago,2009-11-01,NA
Nextel del Peru S.A.,Cusco,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Cusco,prepago,2009-11-01,425254
TIM Peru S.A.C.,Cusco,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Huancavelica,prepago,2009-11-01,30016
BellSouth Peru S.A.,Huancavelica,prepago,2009-11-01,NA
Nextel del Peru S.A.,Huancavelica,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Huancavelica,prepago,2009-11-01,38239
TIM Peru S.A.C.,Huancavelica,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Huanuco,prepago,2009-11-01,90769
BellSouth Peru S.A.,Huanuco,prepago,2009-11-01,NA
Nextel del Peru S.A.,Huanuco,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Huanuco,prepago,2009-11-01,211314
TIM Peru S.A.C.,Huanuco,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Ica,prepago,2009-11-01,136895
BellSouth Peru S.A.,Ica,prepago,2009-11-01,NA
Nextel del Peru S.A.,Ica,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ica,prepago,2009-11-01,541989
TIM Peru S.A.C.,Ica,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Junin,prepago,2009-11-01,202426
BellSouth Peru S.A.,Junin,prepago,2009-11-01,NA
Nextel del Peru S.A.,Junin,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Junin,prepago,2009-11-01,660846
TIM Peru S.A.C.,Junin,prepago,2009-11-01,NA
America Movil Peru S.A.C.,La Libertad,prepago,2009-11-01,344251
BellSouth Peru S.A.,La Libertad,prepago,2009-11-01,NA
Nextel del Peru S.A.,La Libertad,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,La Libertad,prepago,2009-11-01,896420
TIM Peru S.A.C.,La Libertad,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Lambayeque,prepago,2009-11-01,155024
BellSouth Peru S.A.,Lambayeque,prepago,2009-11-01,NA
Nextel del Peru S.A.,Lambayeque,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Lambayeque,prepago,2009-11-01,765456
TIM Peru S.A.C.,Lambayeque,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Lima,prepago,2009-11-01,4250505
BellSouth Peru S.A.,Lima,prepago,2009-11-01,NA
Nextel del Peru S.A.,Lima,prepago,2009-11-01,270493
Telefonica del Peru S.A.A.,Lima,prepago,2009-11-01,5336439
TIM Peru S.A.C.,Lima,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Loreto,prepago,2009-11-01,79481
BellSouth Peru S.A.,Loreto,prepago,2009-11-01,NA
Nextel del Peru S.A.,Loreto,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Loreto,prepago,2009-11-01,178454
TIM Peru S.A.C.,Loreto,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Madre de Dios,prepago,2009-11-01,79798
BellSouth Peru S.A.,Madre de Dios,prepago,2009-11-01,NA
Nextel del Peru S.A.,Madre de Dios,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Madre de Dios,prepago,2009-11-01,15530
TIM Peru S.A.C.,Madre de Dios,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Moquegua,prepago,2009-11-01,32520
BellSouth Peru S.A.,Moquegua,prepago,2009-11-01,NA
Nextel del Peru S.A.,Moquegua,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Moquegua,prepago,2009-11-01,121619
TIM Peru S.A.C.,Moquegua,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Pasco,prepago,2009-11-01,22090
BellSouth Peru S.A.,Pasco,prepago,2009-11-01,NA
Nextel del Peru S.A.,Pasco,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Pasco,prepago,2009-11-01,128293
TIM Peru S.A.C.,Pasco,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Piura,prepago,2009-11-01,137757
BellSouth Peru S.A.,Piura,prepago,2009-11-01,NA
Nextel del Peru S.A.,Piura,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Piura,prepago,2009-11-01,846036
TIM Peru S.A.C.,Piura,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Puno,prepago,2009-11-01,255526
BellSouth Peru S.A.,Puno,prepago,2009-11-01,NA
Nextel del Peru S.A.,Puno,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Puno,prepago,2009-11-01,598827
TIM Peru S.A.C.,Puno,prepago,2009-11-01,NA
America Movil Peru S.A.C.,San Martin,prepago,2009-11-01,61281
BellSouth Peru S.A.,San Martin,prepago,2009-11-01,NA
Nextel del Peru S.A.,San Martin,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,San Martin,prepago,2009-11-01,276844
TIM Peru S.A.C.,San Martin,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Tacna,prepago,2009-11-01,52998
BellSouth Peru S.A.,Tacna,prepago,2009-11-01,NA
Nextel del Peru S.A.,Tacna,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Tacna,prepago,2009-11-01,274442
TIM Peru S.A.C.,Tacna,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Tumbes,prepago,2009-11-01,11467
BellSouth Peru S.A.,Tumbes,prepago,2009-11-01,NA
Nextel del Peru S.A.,Tumbes,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Tumbes,prepago,2009-11-01,158125
TIM Peru S.A.C.,Tumbes,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Ucayali,prepago,2009-11-01,42185
BellSouth Peru S.A.,Ucayali,prepago,2009-11-01,NA
Nextel del Peru S.A.,Ucayali,prepago,2009-11-01,NA
Telefonica del Peru S.A.A.,Ucayali,prepago,2009-11-01,208673
TIM Peru S.A.C.,Ucayali,prepago,2009-11-01,NA
America Movil Peru S.A.C.,Amazonas,control,2009-12-01,71
BellSouth Peru S.A.,Amazonas,control,2009-12-01,NA
Nextel del Peru S.A.,Amazonas,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Amazonas,control,2009-12-01,726
TIM Peru S.A.C.,Amazonas,control,2009-12-01,NA
America Movil Peru S.A.C.,Ancash,control,2009-12-01,799
BellSouth Peru S.A.,Ancash,control,2009-12-01,NA
Nextel del Peru S.A.,Ancash,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Ancash,control,2009-12-01,11858
TIM Peru S.A.C.,Ancash,control,2009-12-01,NA
America Movil Peru S.A.C.,Apurimac,control,2009-12-01,148
BellSouth Peru S.A.,Apurimac,control,2009-12-01,NA
Nextel del Peru S.A.,Apurimac,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Apurimac,control,2009-12-01,908
TIM Peru S.A.C.,Apurimac,control,2009-12-01,NA
America Movil Peru S.A.C.,Arequipa,control,2009-12-01,8444
BellSouth Peru S.A.,Arequipa,control,2009-12-01,NA
Nextel del Peru S.A.,Arequipa,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Arequipa,control,2009-12-01,23885
TIM Peru S.A.C.,Arequipa,control,2009-12-01,NA
America Movil Peru S.A.C.,Ayacucho,control,2009-12-01,358
BellSouth Peru S.A.,Ayacucho,control,2009-12-01,NA
Nextel del Peru S.A.,Ayacucho,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Ayacucho,control,2009-12-01,2261
TIM Peru S.A.C.,Ayacucho,control,2009-12-01,NA
America Movil Peru S.A.C.,Cajamarca,control,2009-12-01,642
BellSouth Peru S.A.,Cajamarca,control,2009-12-01,NA
Nextel del Peru S.A.,Cajamarca,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Cajamarca,control,2009-12-01,9204
TIM Peru S.A.C.,Cajamarca,control,2009-12-01,NA
America Movil Peru S.A.C.,Cusco,control,2009-12-01,5037
BellSouth Peru S.A.,Cusco,control,2009-12-01,NA
Nextel del Peru S.A.,Cusco,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Cusco,control,2009-12-01,5369
TIM Peru S.A.C.,Cusco,control,2009-12-01,NA
America Movil Peru S.A.C.,Huancavelica,control,2009-12-01,33
BellSouth Peru S.A.,Huancavelica,control,2009-12-01,NA
Nextel del Peru S.A.,Huancavelica,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Huancavelica,control,2009-12-01,100
TIM Peru S.A.C.,Huancavelica,control,2009-12-01,NA
America Movil Peru S.A.C.,Huanuco,control,2009-12-01,219
BellSouth Peru S.A.,Huanuco,control,2009-12-01,NA
Nextel del Peru S.A.,Huanuco,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Huanuco,control,2009-12-01,2192
TIM Peru S.A.C.,Huanuco,control,2009-12-01,NA
America Movil Peru S.A.C.,Ica,control,2009-12-01,879
BellSouth Peru S.A.,Ica,control,2009-12-01,NA
Nextel del Peru S.A.,Ica,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Ica,control,2009-12-01,7300
TIM Peru S.A.C.,Ica,control,2009-12-01,NA
America Movil Peru S.A.C.,Junin,control,2009-12-01,865
BellSouth Peru S.A.,Junin,control,2009-12-01,NA
Nextel del Peru S.A.,Junin,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Junin,control,2009-12-01,5228
TIM Peru S.A.C.,Junin,control,2009-12-01,NA
America Movil Peru S.A.C.,La Libertad,control,2009-12-01,6384
BellSouth Peru S.A.,La Libertad,control,2009-12-01,NA
Nextel del Peru S.A.,La Libertad,control,2009-12-01,NA
Telefonica del Peru S.A.A.,La Libertad,control,2009-12-01,17082
TIM Peru S.A.C.,La Libertad,control,2009-12-01,NA
America Movil Peru S.A.C.,Lambayeque,control,2009-12-01,2175
BellSouth Peru S.A.,Lambayeque,control,2009-12-01,NA
Nextel del Peru S.A.,Lambayeque,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Lambayeque,control,2009-12-01,13233
TIM Peru S.A.C.,Lambayeque,control,2009-12-01,NA
America Movil Peru S.A.C.,Lima,control,2009-12-01,46884
BellSouth Peru S.A.,Lima,control,2009-12-01,NA
Nextel del Peru S.A.,Lima,control,2009-12-01,415720
Telefonica del Peru S.A.A.,Lima,control,2009-12-01,138529
TIM Peru S.A.C.,Lima,control,2009-12-01,NA
America Movil Peru S.A.C.,Loreto,control,2009-12-01,940
BellSouth Peru S.A.,Loreto,control,2009-12-01,NA
Nextel del Peru S.A.,Loreto,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Loreto,control,2009-12-01,3076
TIM Peru S.A.C.,Loreto,control,2009-12-01,NA
America Movil Peru S.A.C.,Madre de Dios,control,2009-12-01,734
BellSouth Peru S.A.,Madre de Dios,control,2009-12-01,NA
Nextel del Peru S.A.,Madre de Dios,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Madre de Dios,control,2009-12-01,145
TIM Peru S.A.C.,Madre de Dios,control,2009-12-01,NA
America Movil Peru S.A.C.,Moquegua,control,2009-12-01,503
BellSouth Peru S.A.,Moquegua,control,2009-12-01,NA
Nextel del Peru S.A.,Moquegua,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Moquegua,control,2009-12-01,2662
TIM Peru S.A.C.,Moquegua,control,2009-12-01,NA
America Movil Peru S.A.C.,Pasco,control,2009-12-01,28
BellSouth Peru S.A.,Pasco,control,2009-12-01,NA
Nextel del Peru S.A.,Pasco,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Pasco,control,2009-12-01,530
TIM Peru S.A.C.,Pasco,control,2009-12-01,NA
America Movil Peru S.A.C.,Piura,control,2009-12-01,1586
BellSouth Peru S.A.,Piura,control,2009-12-01,NA
Nextel del Peru S.A.,Piura,control,2009-12-01,NA
Telefonica del Peru S.A.A.,Piura,control,2009-12-01,15026
TIM Peru S.A.C.,Piura,control,2009-12-01,NA
America Movil Peru S.A.C.,Puno,control,2009-12-01,734
BellSouth Peru S.A.,Puno,control,2009-12-01,NA
